662:22:0:2:0:Não:Não:Sim:ativada:azul
649:23:0:3:0:Não:Não:Sim:ativada:azul
648:23:0:3:0:Não:Não:Sim:ativada:azul
647:23:0:3:0:Não:Não:Sim:ativada:azul
646:23:0:3:0:Não:Não:Sim:ativada:azul
645:23:0:3:0:Não:Não:Sim:ativada:azul
644:23:0:3:0:Não:Não:Sim:ativada:azul
630:25:0:3:0:Não:Não:Sim:ativada:azul
629:25:0:3:0:Não:Não:Sim:ativada:azul
628:25:0:3:0:Não:Não:Sim:ativada:azul
627:25:0:3:0:Não:Não:Sim:ativada:azul
626:25:0:3:0:Não:Não:Sim:ativada:azul
625:25:0:3:0:Não:Não:Sim:ativada:azul
611:26:0:3:0:Não:Não:Sim:ativada:azul
610:26:0:3:0:Não:Não:Sim:ativada:azul
609:27:0:3:0:Não:Não:Sim:ativada:azul
608:27:0:3:0:Não:Não:Sim:ativada:azul
607:27:0:3:0:Não:Não:Sim:ativada:azul
606:27:0:3:0:Não:Não:Sim:ativada:azul
592:28:0:3:0:Não:Não:Sim:ativada:azul
591:28:0:3:0:Não:Não:Sim:ativada:azul
590:28:0:3:0:Não:Não:Sim:ativada:azul
589:28:0:3:0:Não:Não:Sim:ativada:azul
588:28:0:3:0:Não:Não:Sim:ativada:azul
587:29:0:3:0:Não:Não:Sim:ativada:azul
3:29:0:3:0:Não:Não:Não:ativada:Não identificada
573:4294929914:0:4294959493:0:Não:Não:Sim:ativada:azul
572:4294929914:0:4294959493:0:Não:Não:Sim:ativada:azul
571:4294929914:0:4294959493:0:Não:Não:Sim:ativada:azul
570:4294929914:0:4294959493:0:Não:Não:Sim:ativada:azul
569:4294929914:0:4294959493:0:Não:Não:Sim:ativada:azul
568:4294929914:0:4294959493:0:Não:Não:Sim:ativada:azul
554:4294929916:0:4294959493:0:Não:Não:Sim:ativada:azul
553:4294929916:0:4294959493:0:Não:Não:Sim:ativada:azul
552:4294929916:0:4294959493:0:Não:Não:Sim:ativada:azul
551:4294929916:0:4294959493:0:Não:Não:Sim:ativada:azul
550:4294929916:0:4294959493:0:Não:Não:Sim:ativada:azul
549:4294929916:0:4294959493:0:Não:Não:Sim:ativada:azul
534:4294929918:0:4294959494:0:Não:Não:Sim:ativada:azul
533:4294929918:0:4294959494:0:Não:Não:Sim:ativada:azul
532:4294929918:0:4294959494:0:Não:Não:Sim:ativada:azul
531:4294929918:0:4294959494:0:Não:Não:Sim:ativada:azul
530:4294929918:0:4294959494:0:Não:Não:Sim:ativada:azul
529:4294929918:0:4294959494:0:Não:Não:Sim:ativada:azul
515:4294929919:0:4294959494:0:Não:Não:Sim:ativada:azul
514:4294929919:0:4294959494:0:Não:Não:Sim:ativada:azul
513:4294929919:0:4294959494:0:Não:Não:Sim:ativada:azul
512:4294929920:0:4294959494:0:Não:Não:Sim:ativada:azul
511:4294929920:0:4294959494:0:Não:Não:Sim:ativada:azul
510:4294929920:0:4294959494:0:Não:Não:Sim:ativada:azul
496:4294929921:0:4294959494:0:Não:Não:Sim:ativada:azul
495:4294929921:0:4294959494:0:Não:Não:Sim:ativada:azul
494:4294929921:0:4294959494:0:Não:Não:Sim:ativada:azul
493:4294929921:0:4294959494:0:Não:Não:Sim:ativada:azul
492:4294929921:0:4294959494:0:Não:Não:Sim:ativada:azul
491:4294929921:0:4294959494:0:Não:Não:Sim:ativada:azul
476:4294929923:0:4294959494:0:Não:Não:Sim:ativada:azul
475:4294929923:0:4294959494:0:Não:Não:Sim:ativada:azul
474:4294929923:0:4294959494:0:Não:Não:Sim:ativada:azul
473:4294929923:0:4294959494:0:Não:Não:Sim:ativada:azul
472:4294929923:0:4294959494:0:Não:Não:Sim:ativada:azul
471:4294929923:0:4294959494:0:Não:Não:Sim:ativada:azul
457:4294929924:0:4294959494:0:Não:Não:Sim:ativada:azul
456:4294929925:0:4294959494:0:Não:Não:Sim:ativada:azul
455:4294929925:0:4294959494:0:Não:Não:Sim:ativada:azul
454:4294929925:0:4294959494:0:Não:Não:Sim:ativada:azul
453:4294929925:0:4294959494:0:Não:Não:Sim:ativada:azul
452:4294929925:0:4294959494:0:Não:Não:Sim:ativada:azul
1024:4294929925:0:4294959494:0:Não:Não:Não:desativada:azul
439:4294881459:0:4294926329:0:Não:Não:Sim:ativada:azul
438:4294881459:0:4294926329:0:Não:Não:Sim:ativada:azul
437:4294881459:0:4294926329:0:Não:Não:Sim:ativada:azul
436:4294881459:0:4294926329:0:Não:Não:Sim:ativada:azul
435:4294881459:0:4294926329:0:Não:Não:Sim:ativada:azul
434:4294881460:0:4294926329:0:Não:Não:Sim:ativada:azul
419:4294881461:0:4294926330:0:Não:Não:Sim:ativada:azul
418:4294881461:0:4294926330:0:Não:Não:Sim:ativada:azul
417:4294881461:0:4294926330:0:Não:Não:Sim:ativada:azul
416:4294881461:0:4294926330:0:Não:Não:Sim:ativada:azul
415:4294881461:0:4294926330:0:Não:Não:Sim:ativada:azul
414:4294881461:0:4294926330:0:Não:Não:Sim:ativada:azul
400:4294881463:0:4294926330:0:Não:Não:Sim:ativada:azul
399:4294881463:0:4294926330:0:Não:Não:Sim:ativada:azul
398:4294881463:0:4294926330:0:Não:Não:Sim:ativada:azul
397:4294881463:0:4294926330:0:Não:Não:Sim:ativada:azul
396:4294881463:0:4294926330:0:Não:Não:Sim:ativada:azul
395:4294881463:0:4294926330:0:Não:Não:Sim:ativada:azul
381:4294881464:0:4294926330:0:Não:Não:Sim:ativada:azul
